"",001
"Thu 02-Aug-18   3:20:20 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,3,4,"",0.89983,0,0,0,0,0,0,0.0388154,0.0291811,0,0,0,0.0633602,0.566142,0.0351629,0.166561,0,0,0,0.000607462,0,0,0,0
"MtrElec",1,3,5,"",0.938435,0,0,0,0,0,0,0.103811,0.0291811,0,0,0,0.0782685,0.537844,0.0359443,0.152778,0,0,0,0.000607462,0,0,0,0
"MtrElec",1,3,6,"",1.04611,0,0,0,0,0,0,0.132649,0.0291811,0,0,0,0.115539,0.582646,0.0351629,0.149916,0,0,0,0.00101244,0,0,0,0
"MtrElec",1,3,7,"",1.63124,0,0,0,0,0,0,0.609432,0.0291811,0,0,0,0.156537,0.653582,0.0343815,0.146097,0,0,0,0.00202487,0,0,0,0
"MtrElec",1,3,8,"",1.91912,0,0,0,0,0,0,0.827457,0.0291811,0,0,0,0.15281,0.700781,0.0320373,0.17139,0,0,0,0.00546716,0,0,0,0
"MtrElec",1,3,9,"",1.56392,0,0,0,0,0,0,0.490914,0.0291811,0,0,0,0.12672,0.657854,0.0281303,0.221402,0,0,0,0.00971939,0,0,0,0
"MtrElec",1,3,10,"",1.37093,0,0,0,0,0,0,0.361651,0.0291811,0,0,0,0.108085,0.631857,0.0234419,0.206996,0,0,0,0.00971939,0,0,0,0
"MtrElec",1,3,11,"",1.29205,0,0,0,0,0,0,0.284414,0.0291811,0,0,0,0.100631,0.642931,0.0187536,0.206825,0,0,0,0.00931442,0,0,0,0
"MtrElec",1,3,12,"",1.22249,0,0,0,0,0,0,0.23018,0.0291811,0,0,0,0.0931768,0.633302,0.0125024,0.213012,0,0,0,0.0111368,0,0,0,0
"MtrElec",1,3,13,"",1.16279,0,0,0,0,0,0,0.186428,0.0291811,0,0,0,0.0782685,0.627445,0.00937678,0.219329,0,0,0,0.0127567,0,0,0,0
"MtrElec",1,3,14,"",1.15131,0,0,0,0,0,0,0.152614,0.0291811,0,0,0,0.0782685,0.64629,0.00859538,0.224412,0,0,0,0.0119468,0,0,0,0
"MtrElec",1,3,15,"",1.15386,0,0,0,0,0,0,0.127005,0.0291811,0,0,0,0.0782685,0.677331,0.00859538,0.220928,0,0,0,0.0125542,0,0,0,0
"MtrElec",1,3,16,"",1.21304,0,0,0,0,0,0,0.117268,0.0291811,0,0,0,0.0969038,0.711969,0.00937678,0.234571,0,0,0,0.0137691,0,0,0,0
"MtrElec",1,3,17,"",1.32586,0,0,0,0,0,0,0.129012,0.0291811,0,0,0,0.115539,0.798579,0.0148466,0.220274,0,0,0,0.0184264,0,0,0,0
"MtrElec",1,3,18,"",1.52996,0,0,0,0,0,0,0.141312,0.0291811,0,0,0,0.163991,0.900499,0.0296931,0.237141,0,0,0,0.0281457,0,0,0,0
